Fameli1,Fameli2,Dey,Shabandar,Hakeshti,Saamera,Faspa
923320087,93000000,161246543,268192665,77646643,107248570,57796198
-1.46,-1.46,3.56,3.92,0,-4.91,0
0,0,5,0,0,-5,-5
0,0,2.56,0,0,-5,-5
0,0,5,0,0,-5,0
